,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua & Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia & Herzegovina,Botswana,Brazil,Brunei Darussalem,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Central African Republic,Chad,Chile,China,Columbia,Comoros,Congo,Congo- Democratic Republic of,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatamala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See (Vatican City),Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Korea- North,Korea- South,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Phillipines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,St. Kitts & Nevis,St. Lucia,St. Vincent & The Grenadines,Samoa,San Marino,Sao Tome & Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad & Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
Gabon,0,0,47,0,47,0,0,0,0,0,0,0,0,0,0,0,47,0,47,0,0,0,0,47,0,0,0,0,0,0,47,0,0,47,0,0,47,0,0,47,47,0,47,0,0,0,0,0,0,0,0,0,47,0,47,0,0,0,0,0,47,0,0,0,47,47,0,0,0,47,0,0,0,47,0,0,0,0,0,0,0,0,0,47,0,47,0,0,0,0,0,47,0,0,0,0,0,47,0,0,47,0,0,0,0,0,0,0,0,47,0,0,47,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,124,0,0,198,0,0,0,0,0,0,47,127,69,0,0,0,0,0,0,0,0,147,0,47,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,62,0,0,0,0,121,0,0,47,0,0,0,0,0,0,0,0
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,19,0,0,0,0
Georgia,0,0,0,0,0,0,0,34,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,34,0,0,0,34,0,0,0,34,0,34,0,0,0,0,0,0,34,0,0,0,34,0,34,34,0,34,34,0,0,0,34,0,0,0,0,0,0,0,0,34,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0,0,0,0,0,0,0,34,0,0,0,34,0,34,34,0,0,0,0,0,0,0,0
Germany,48,52,78,0,62,0,101,39,0,0,51,0,45,60,0,54,0,0,44,0,37,57,0,152,0,114,29,45,16,34,51,0,30,0,15,82,220,71,0,38,59,0,58,73,0,69,119,0,0,0,61,58,181,45,0,23,45,41,0,0,0,0,31,53,0,68,130,0,59,36,0,0,30,0,55,108,0,184,120,98,73,0,106,208,26,0,65,60,61,0,35,114,34,0,22,30,51,73,16,24,0,0,55,0,49,27,14,116,25,32,0,0,27,29,96,0,29,0,30,33,100,40,38,0,30,0,0,42,17,103,99,64,99,0,0,0,39,75,101,133,124,0,117,198,28,0,0,0,0,0,0,127,69,80,14,25,68,66,58,0,21,147,0,0,63,67,0,0,119,142,59,0,15,50,113,0,30,0,28,62,128,14,0,35,121,0,0,0,56,37,0,0,88,50,27,36
Ghana,0,0,65,0,65,0,0,0,65,0,0,0,0,0,0,0,0,0,65,0,0,0,0,65,0,65,65,0,0,0,65,65,65,0,0,0,220,0,0,38,59,0,58,0,65,0,119,65,0,0,0,0,181,0,65,0,0,41,0,0,65,65,0,0,65,0,0,0,0,36,0,0,0,65,0,0,0,184,0,98,0,0,0,208,0,65,0,0,0,0,35,114,0,0,0,0,0,73,0,24,65,0,0,0,0,0,0,116,0,32,0,0,0,0,0,0,0,0,0,0,100,0,38,0,0,65,0,0,17,103,99,0,0,0,0,0,0,0,0,0,124,0,0,198,0,0,0,0,0,0,65,127,0,0,0,25,0,0,0,0,0,147,0,65,0,0,0,0,0,142,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,65,65,0,0,0,0,0,0,0,0
Greece,0,52,78,0,62,0,101,39,0,0,51,0,0,0,0,0,0,0,0,0,0,57,0,152,0,114,0,0,0,0,0,0,0,0,0,82,220,0,0,0,59,0,0,73,0,69,119,0,0,0,0,0,181,0,0,0,45,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,108,0,184,120,98,73,0,106,208,0,0,65,60,0,0,0,114,0,0,0,0,51,73,0,0,0,0,55,0,49,0,0,0,0,0,0,0,0,0,96,0,29,0,0,33,100,0,0,0,0,0,0,0,0,103,99,0,99,0,0,0,0,75,101,133,124,0,117,198,0,0,0,0,0,0,0,127,0,80,0,0,0,66,58,0,0,147,0,0,0,0,0,0,119,142,59,0,0,0,113,0,0,0,0,62,128,0,0,0,121,0,0,0,56,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,10,0,0,0,10,0,0,0,0
Guatamala,0,0,0,0,0,0,49,0,0,49,0,0,0,0,0,0,0,49,0,0,0,0,0,49,0,0,0,0,0,0,0,49,0,0,0,49,0,49,0,0,0,49,0,0,49,0,0,0,0,0,49,49,49,49,0,0,0,0,0,0,49,0,0,0,49,0,0,0,0,0,0,0,0,49,49,0,0,0,0,0,0,0,49,49,0,49,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,49,0,42,0,0,99,0,0,0,49,0,0,75,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,119,142,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,56,0,0,49,0,0,0,0
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,23,0,23,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,23,0,23,0,23,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,23,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,23,0,23,23,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,31,0,11,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,198,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,13,0,0,0,0,220,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,13,13,0,0,0,13,0,0,0,0
Haiti,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City),0,52,0,0,62,0,101,0,0,0,0,0,0,0,0,0,0,0,44,0,37,57,0,152,0,114,0,0,0,0,51,0,0,0,0,82,0,71,0,0,59,0,58,73,0,69,119,0,0,0,61,58,181,45,0,0,0,0,0,0,0,0,0,53,0,0,130,0,59,36,0,0,30,0,55,108,0,0,120,98,73,0,106,208,0,0,0,0,0,0,0,114,0,0,0,0,0,73,0,0,0,0,55,0,49,0,0,0,0,0,0,0,0,0,96,0,0,0,0,33,100,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,39,75,101,133,124,0,117,198,0,0,0,0,0,0,0,0,69,80,14,0,0,66,58,0,0,0,0,0,0,0,0,0,119,0,0,44,0,0,0,10,0,0,0,0,128,0,0,0,121,0,0,0,56,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,82,0,71,0,0,0,0,0,0,0,0,0,0,0,0,61,58,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,0,102,102,0,102,0,102,0,102,102,102,0,0,0,0,102,102,0,0,0,0,102,0,102,0,102,0,0,0,0,0,102,0,0,0,102,102,0,0,0,0,0,0,102,102,102,102,102,0,0,0,102,102,0,0,0,102,0,0,102,102,0,0,0,102,0,102,0,0,0,0,0,0,102,0,0,0,102,102,102,0,102,102,102,0,102,0,102,0,0,0,102,102,0,0,0,0,102,0,0,102,0,102,0,102,0,0,102,0,0,0,0,0,0,102,0,102,0,102,102,102,0,0,0,0,102,0,0,0,102,102,0,102,0,102,0,0,102,102,102,102,102,102,102,0,0,0,0,0,0,0,102,0,102,0,0,0,102,102,0,0,102,0,102,0,0,0,0,102,102,102,0,0,0,102,0,0,0,0,102,102,0,0,0,121,0,102,102,0,0,0,102,88,50,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,32,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,32,0,0,0,0,0,0,0,0,32,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,119,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,0,0
India,48,0,78,0,62,0,101,39,0,0,51,0,45,60,0,54,0,0,44,0,0,57,14,152,0,114,29,45,16,34,0,0,0,0,0,82,220,71,0,0,59,0,58,73,0,69,119,0,31,0,61,58,181,45,0,23,0,41,21,0,0,0,31,53,0,68,130,0,0,0,0,17,0,0,0,108,0,0,120,98,73,0,106,208,0,0,65,60,61,0,35,114,0,0,22,30,0,73,16,0,0,0,55,0,49,27,14,116,25,32,0,0,0,29,96,0,0,0,30,0,100,40,38,0,30,0,0,0,0,103,99,64,99,0,0,16,39,75,101,133,124,0,117,198,28,0,0,0,0,0,0,127,69,80,14,0,68,66,58,0,21,147,0,0,63,67,14,22,119,142,59,0,15,50,113,0,30,0,28,62,128,14,0,35,121,0,0,0,56,37,0,0,88,50,27,36
Indonesia,102,0,102,0,0,0,102,0,102,102,102,0,0,102,0,0,102,0,0,0,0,102,0,102,102,102,0,102,0,102,0,102,0,0,0,102,102,0,0,0,0,0,0,102,102,0,102,102,0,0,0,102,102,0,0,0,0,0,0,102,102,0,0,0,102,0,102,0,0,0,0,0,0,102,0,102,0,102,0,102,102,0,0,102,0,102,102,0,0,0,102,102,0,102,0,102,0,102,0,0,102,0,0,0,0,0,0,102,0,0,0,0,0,0,102,0,0,0,0,0,102,102,0,0,0,102,102,0,0,102,102,0,102,0,102,102,0,102,102,102,102,102,102,102,0,0,0,0,0,0,0,102,0,102,0,0,102,102,0,0,102,102,0,102,102,102,102,0,102,102,102,102,0,0,102,102,0,0,0,102,102,0,0,0,102,102,102,102,0,37,0,102,88,50,0,36
Iran,48,0,0,0,0,0,101,39,0,0,51,0,45,60,0,54,0,0,0,0,0,57,0,152,0,114,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,73,0,69,119,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,53,0,0,130,0,0,0,0,0,0,0,0,108,0,184,120,0,73,0,0,208,0,0,65,60,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,96,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,64,99,0,0,0,0,0,101,133,124,0,117,198,0,0,0,0,0,0,0,127,69,80,0,25,0,66,58,0,21,147,0,0,63,67,0,0,119,142,59,0,0,0,113,0,0,0,0,0,128,0,0,35,121,0,0,0,56,37,0,0,88,50,0,0
Iraq,46,0,0,0,0,0,0,46,46,0,0,0,46,46,0,46,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,46,46,0,0,0,0,46,0,0,0,0,0,0,46,0,0,0,0,46,0,46,0,0,0,0,0,0,46,0,46,0,46,0,46,0,0,0,46,0,46,46,0,0,0,0,46,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,46,0,0,0,0,0,46,46,0,0,0,0,0,46,46,0,0,46,46,0,0,0,0,0,0,0,46,0,46,0,0,0,46,0,0,0,0,0,46,46,46,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,121,46,46,46,0,0,0,46,88,0,0,0
Ireland,0,95,0,0,0,0,95,0,95,95,0,0,0,0,0,0,95,0,0,0,0,95,0,95,0,95,0,0,0,0,0,95,0,0,0,95,95,0,0,0,0,0,0,95,95,95,95,95,0,0,0,0,95,0,0,0,95,95,0,95,95,0,0,95,95,0,95,0,0,0,0,0,0,95,0,95,95,95,0,95,0,0,95,95,0,95,0,0,95,0,0,95,95,0,0,0,95,0,95,0,0,0,95,0,95,0,0,95,0,0,95,0,0,0,95,0,0,0,0,95,95,0,0,0,0,95,0,0,0,103,99,0,99,0,0,0,0,0,101,133,124,0,117,198,0,0,0,0,0,0,0,127,0,80,0,0,0,66,58,0,0,147,0,95,0,0,0,0,119,142,0,0,0,0,0,0,0,0,0,0,128,0,0,0,121,95,95,95,0,0,0,0,0,0,0,0
Israel,0,109,0,0,109,0,109,0,109,109,0,0,0,0,0,109,109,0,0,0,0,109,0,109,0,109,0,109,0,0,109,109,0,0,0,109,109,109,0,109,0,109,109,109,0,109,109,109,0,0,109,109,109,109,0,0,109,109,0,109,109,0,0,109,109,109,109,0,109,0,0,0,0,109,109,109,0,109,0,0,0,109,0,109,0,109,109,109,109,0,0,109,0,0,0,0,109,0,0,109,0,0,109,0,0,0,0,0,0,0,0,0,109,0,109,0,109,0,0,0,0,0,0,0,0,109,0,0,0,109,109,0,0,0,109,0,0,109,109,109,109,0,109,109,0,0,0,0,0,0,0,0,0,109,0,0,0,109,109,0,0,109,0,109,109,0,0,0,109,109,0,0,0,0,109,0,0,0,0,0,109,0,0,0,121,0,109,109,56,37,0,109,0,0,0,0
Italy,186,186,186,0,186,0,186,186,186,186,186,0,0,186,0,186,186,186,0,0,186,186,0,186,0,186,186,186,186,0,186,186,186,0,0,186,220,71,0,38,59,186,58,73,186,69,119,186,0,0,61,58,181,45,0,23,45,41,0,186,186,186,0,53,186,68,130,0,59,36,0,0,30,186,55,108,186,184,120,98,73,186,106,0,0,186,65,60,61,0,35,114,34,186,0,0,51,73,16,24,186,0,55,186,49,27,0,116,25,32,186,0,27,29,96,0,29,186,0,33,100,40,0,0,0,186,186,42,17,103,99,64,99,0,186,0,39,75,101,133,124,186,117,198,0,0,0,0,0,0,0,127,69,80,0,0,0,66,58,0,21,147,0,186,63,67,0,0,119,142,59,0,0,50,113,0,0,0,0,62,128,0,0,35,121,186,186,186,56,37,0,186,88,50,27,36
Jamaica,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,82,220,71,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,55,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,75,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,175,175,175,0,175,0,175,0,175,175,175,0,175,175,0,175,175,175,175,0,175,175,175,175,175,175,175,175,0,175,175,175,0,0,0,175,220,71,0,0,59,175,58,73,175,0,119,175,31,0,61,58,181,45,0,23,45,41,21,175,175,175,0,53,175,68,130,0,59,36,0,0,30,175,55,108,175,184,120,98,73,175,106,208,26,0,65,60,61,0,0,114,34,175,22,30,51,73,0,0,175,0,55,175,0,27,14,116,25,32,0,175,27,0,96,5,0,0,30,0,100,40,0,0,30,175,175,42,0,103,99,64,99,175,175,16,39,75,101,133,124,175,117,198,28,0,0,0,175,175,0,127,69,80,0,0,68,66,58,0,0,147,0,175,63,67,0,0,119,142,59,44,0,50,113,0,0,0,0,62,128,0,0,35,121,175,175,175,56,37,0,175,88,50,27,36
Jordan,0,0,107,0,0,0,0,0,107,107,0,0,107,107,0,0,107,0,0,0,0,107,0,107,107,107,0,0,0,0,0,107,0,0,0,107,107,0,0,0,0,0,0,0,0,107,107,0,0,0,0,0,107,0,0,0,0,0,0,0,107,0,0,107,107,107,107,0,0,0,0,0,0,107,0,107,0,107,120,98,73,0,106,208,0,107,0,0,61,0,0,114,0,107,0,0,0,73,0,0,107,0,0,0,0,0,0,116,0,0,0,0,27,0,0,0,0,0,0,0,100,0,0,0,0,107,0,0,0,103,99,64,99,0,0,0,0,0,101,133,0,107,117,198,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,147,0,107,63,67,0,0,119,142,59,0,0,0,113,0,0,0,0,62,128,0,0,0,121,107,107,107,0,0,0,0,0,50,0,0
Kazakhstan,40,0,0,0,0,0,0,40,0,0,40,0,0,0,0,40,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,40,0,0,0,0,40,0,0,0,0,0,0,0,40,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,40,0,0,40,40,0,40,0,0,0,0,0,0,40,0,40,0,40,0,0,0,0,40,40,0,40,0,0,0,0,0,0,0,0,40,0,40,0,0,0,0,0,40,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,40,0,0,0,0,0,0,40,0,0,0,0,0,0,40,0,40,40,40,0,0,0,0,0,0,0,40,0,0,0,0,0,40,0,0,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,40,40,0,37,0,0,0,0,0,0
Kenya,0,0,78,0,62,0,101,0,0,0,0,0,0,60,0,0,0,0,44,0,0,0,14,152,0,0,29,0,16,0,51,0,0,0,15,82,220,71,0,0,59,0,58,0,0,69,119,0,31,0,0,0,181,0,0,23,0,41,0,0,0,0,0,0,0,68,130,0,0,0,0,0,0,0,0,108,0,184,120,98,0,0,106,208,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,24,0,0,0,0,0,27,14,0,0,32,0,0,0,0,96,0,0,0,0,0,100,40,0,0,0,0,0,0,0,103,99,64,99,0,0,0,0,0,101,133,124,0,117,198,28,0,0,0,0,0,0,127,69,0,14,25,0,66,0,0,0,147,15,0,63,67,0,22,119,142,0,0,0,50,113,0,0,0,0,0,128,0,0,35,121,0,0,0,0,0,0,0,0,50,27,36
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Korea- North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,21,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,21,0,0,21,0,0,0,0,0,0,21,0,0,21,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,88,0,0,0
Korea- South,120,0,0,0,0,0,120,0,120,120,0,0,0,120,0,120,120,0,0,0,0,0,0,120,120,120,0,120,0,120,0,120,0,0,0,120,120,120,0,0,0,120,0,0,120,0,120,120,0,0,120,120,120,120,0,0,0,0,120,120,120,0,0,0,120,0,120,0,120,0,0,0,0,120,120,120,0,120,120,0,0,120,120,120,0,120,0,120,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,120,0,0,0,120,0,120,0,0,0,120,120,120,0,0,0,0,120,120,120,0,0,120,120,120,120,120,120,120,198,28,0,0,0,0,0,0,127,0,80,0,0,68,66,0,0,0,147,0,120,63,0,0,0,119,142,59,44,0,0,113,0,0,0,0,0,128,0,0,0,121,120,120,120,0,37,0,120,88,0,0,0
Kosovo,0,39,0,0,0,0,0,0,0,39,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,39,39,0,0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,39,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,39,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,39,0,0,0,0,39,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,39,0,0,0,0,39,0,0,0,0,39,39,0,0,0,0,0,0,0,0,0,0,39,0,0,0,121,0,39,39,0,0,0,0,0,0,0,0
