0,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua&Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia&Herzegovina,Botswana,Brazil,BruneiDarussalem,Bulgaria,BurkinaFaso,Burma,Burundi,Cambodia,Cameroon,Canada,CapeVerde,CentralAfricanRepublic,Chad,Chile,China,Colombia,Comoros,Congo,CongoDemocratic,CostaRica,CotedIvoire,Croatia,Cuba,Cyprus,CzechRepublic,Denmark,Djibouti,Dominica,DominicanRepublic,Ecuador,Egypt,ElSalvador,EquatorialGuinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatamala,Guinea,Guinea-Bissau,Guyana,Haiti,HolySee(VaticanCity),Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,KoreaNorth,KoreaSouth,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,MarshallIslands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,NewZealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Palau,Panama,PapuaNewGuinea,Paraguay,Peru,Phillipines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,St.Kitts&Nevis,St.Lucia,St.Vincent&TheGrenadines,Samoa,SanMarino,SaoTome&Principe,SaudiArabia,Senegal,Serbia,Seychelles,SierraLeone,Singapore,Slovakia,Slovenia,SolomonIslands,Somalia,SouthAfrica,SouthSudan,Spain,SriLanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad&Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,Ukraine,UnitedArabEmirates,UnitedKingdom,UnitedStates,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
Saudi Arabia,3.12,1.983,1.326,0.01,0.524,0.01,2.16,0.469,2.16,2.251,2.071,0.01,5.484,2.16,0.01,0.524,2.251,0.01,0.365,0.01,0.316,2.071,0.028,2.251,1.983,0.64,0.894,0.469,0.052,0.316,0.962,2.251,0.112,0.028,0.469,0.581,3.326,0.469,0.416,0.27,0.524,0.365,1.103,0.581,0.64,0.581,2.251,2.251,3.75,0.01,0.316,0.469,10,0.185,0.185,0.962,0.416,3.019,0.028,2.251,3.326,1.032,0.764,0.524,3.326,1.176,2.251,0.01,0.185,0.828,0.01,0.01,0.052,0.64,0.112,2.251,0.365,5.732,3.326,4.417,2.251,2.16,0.64,3.326,0.028,2.251,6.889,2.071,2.071,0,0.416,1.326,0.894,5.607,0.226,0.27,0.469,3.222,0.08,0.08,1.326,0.01,0.416,0.416,0.469,0.147,0.028,3.222,0.962,1.726,1.032,0,0.701,0.365,2.16,0.01,0.185,0.028,0.365,0.316,3.326,0.416,0.27,0,1.103,3.326,1.176,0.112,1.103,2.16,1.326,5.607,7.022,0.01,0.316,0.028,0.27,0.524,5.607,2.251,2.16,4.417,2.251,3.326,0.365,0.01,0.01,0.01,0.01,0.01,0.01,0,2.071,0.581,0.052,0.524,3.019,0.581,0.524,0,0.828,4.417,0.052,3.222,3.12,6.889,0.01,0.052,2.251,2.251,2.16,0.028,0.028,1.983,2.251,0.01,0.112,0,0.08,2.16,3.326,0.469,0,1.896,2.251,5.732,3.326,5.607,1.103,1.896,0,2.16,0.581,4.303,0.64,0.316
Senegal,0.416,0.416,2.071,0.052,2.071,0.112,2.071,0.316,0.416,1.176,0.365,0.052,1.032,0.469,0.08,0.365,3.019,0.052,2.071,0.01,0.316,0.469,0.185,4.191,0.316,0.469,2.919,0.147,0.27,0.08,3.12,2.071,3.858,0.701,0.185,0.416,1.983,0.365,0.08,1.103,1.25,0.226,5.484,0.469,1.176,0.416,0.524,0.469,0.226,0.08,0.365,0.316,2.071,0.316,0.469,0.316,0.185,1.983,0.147,0.469,3.019,4.191,4.079,0.316,2.071,2.16,0.524,0.052,0.147,4.191,1.326,0.08,0.27,1.896,0.147,0.524,0.226,1.896,1.176,1.81,0.469,0.469,1.103,3.019,0.08,1.983,0.524,0.316,1.103,0.01,0.112,1.032,0.185,1.983,0.185,0.08,0.226,1.176,0.365,1.103,2.071,0.028,0.27,1.032,0.316,0.894,0.226,1.896,0.147,3.019,0.365,0.028,3.968,0.316,0.416,0.028,0.112,0.226,0.147,0.185,3.222,0.416,0.416,0.01,0.316,1.983,0.365,0.147,0.365,4.303,0.416,0.416,1.176,0.028,0.27,0.08,0.316,0.469,0.469,1.176,4.303,1.983,1.176,1.25,0.962,0.052,0.08,0.028,0.028,0.08,0.226,2.071,0,0.469,0.27,1.896,0.27,0.469,0.416,0.01,0.27,5.484,0.08,5.362,0.416,1.176,0.052,0.316,0.416,1.176,1.176,0.028,0.052,0.416,1.103,0.052,0.469,0.028,0.185,2.071,2.919,0.08,0.01,0.469,0.524,1.983,1.983,2.919,0.416,0.27,0.028,0.524,0.416,0.469,0.365,0.416
Serbia,0.469,3.12,2.16,0.052,2.071,0.052,2.16,0.469,2.071,3.326,0.524,0.028,0.365,0.416,0.052,2.071,3.326,0.052,0.316,0.01,0.416,3.222,0.08,2.251,0.27,4.417,0.365,1.643,0.112,0.316,0.469,2.16,0.316,0.052,0.052,0.581,3.222,0.524,0.01,0.365,1.176,0.416,0.469,4.417,2.16,2.16,2.251,4.417,0.052,0.028,0.469,0.524,2.251,0.365,0.316,0.365,0.524,1.032,0.08,2.251,4.303,0.416,0.185,0.581,4.417,1.103,2.251,0.028,0.416,0.962,0.08,0.08,0.27,2.16,0.365,4.417,0.469,2.16,2.16,2.16,2.16,2.251,2.251,3.222,0.112,2.251,0.581,0.524,0.416,0.01,0.416,2.16,1.176,2.071,0.27,0.27,0.524,1.25,0.226,0.147,2.16,0.052,0.581,0.469,3.222,0.147,0.08,1.25,0.08,0.365,0.469,0.01,0.316,0.316,2.16,0.01,0.416,0.226,0.416,3.019,2.251,0.416,0.365,0.01,0.185,3.222,0.469,0.365,0.112,1.176,3.222,0.416,1.326,0.01,0.416,0.052,0.469,1.25,0.524,3.326,1.326,0.524,5.607,3.222,0.27,0.028,0.028,0.01,0.028,0.64,0.028,0.581,0.469,0,0.08,0.112,0.316,2.251,4.303,0.01,0.147,1.326,0.052,4.417,0.469,0.469,0.052,0.052,4.417,4.417,2.16,0.01,0.112,0.316,0.581,0.052,0.27,0.01,0.052,2.071,3.222,0.147,0.01,0.416,3.326,0.581,3.222,2.16,0.524,0.416,0.028,0.581,0.581,0.524,0.828,1.103
Seychelles,0.27,0.185,0.08,0.147,0.27,0.185,0.08,0.27,0.052,0.052,0.226,0.185,0.316,0.316,0.185,0.27,0.469,0.112,0.316,0.147,0.226,0.226,0.316,0.028,0.27,0.028,0.185,0.185,0.365,0.226,0.185,0.028,0.226,0.185,0.27,0.112,0.962,0.147,0.27,0.185,0.185,0.112,0.226,0.112,0.469,0.27,0.052,0.028,0.27,0.226,0.147,0.147,0.01,0.185,0.316,0.365,0.147,0.316,0.27,0.112,1.726,0.316,0.27,0.226,0.365,0.185,0.028,0.147,0.08,0.27,0.226,0.185,0.147,0.416,0.052,0.08,0.27,1.81,0.08,0.147,0.226,0.08,0.028,0.365,0.147,0.01,0.226,0.185,0.894,0.112,0.185,0.08,0.112,0.226,0.27,0.226,0.112,0.185,0.27,0.27,0.524,0.185,0.147,0.316,0.226,0.316,0.316,0.028,0.316,0.27,0.27,0.08,0.226,0.962,0.052,0.147,0.226,0.27,0.27,0.27,0.147,0.316,0.27,0.112,0.365,0.01,0.147,0.147,0.185,0.052,0.052,0.27,0.112,0.08,0.08,0.185,0.226,0.147,0.147,0.028,0.028,0.64,0.052,0.962,0.316,0.147,0.185,0.147,0.147,0.147,0.112,0.052,0.27,0.08,0,0.27,0.226,0.185,0.147,0.112,0.316,1.032,0.226,0.01,0.27,0.27,0.147,0.316,0.052,0.028,0.185,0.028,0.27,1.726,0.052,0.185,0.226,0.185,0.226,0.226,0.028,0.316,0.112,0.365,0.052,1.176,1.726,0,0.27,0.226,0.185,0.052,0.08,0.316,0.365,0.316
Sierra Leone,0.185,0.147,0.147,0.112,0.365,0.226,0.08,0.226,0.052,0.08,0.27,0.147,0.27,0.27,0.185,0.147,1.176,0.08,1.81,0.052,0.147,0.185,0.185,0.028,0.226,0.052,0.365,0.08,0.27,0.185,0.365,0.052,0.316,0.27,0.27,0.028,0.962,0.08,0.147,0.365,0.316,0.052,1.896,0.147,0.185,0.147,0.112,0.052,0.185,0.226,0.052,0.08,0.469,0.052,0.365,0.27,0.147,1.032,0.147,0.112,0.365,0.365,3.968,0.147,1.032,1.726,0.052,0.185,0.052,3.968,0.316,0.147,0.08,0.08,0.052,0.08,0.185,0.01,0.052,0.469,0.08,0.112,0.08,0.01,0.226,0.028,0.185,0.226,0.764,0.052,0.08,0.028,0.185,0.226,0.27,0.147,0.185,0.828,0.27,3.968,1.326,0.147,0.147,0.27,0.112,0.27,0.226,0.052,0.226,0.365,0.316,0.08,0.365,0.27,0.052,0.112,0.185,0.27,0.185,0.185,0.316,0.226,0.316,0.052,0.226,0.028,0.185,0.08,0.316,1.482,0.052,0.147,0.112,0.08,0.028,0.147,0.08,0.028,0.052,0.052,0.147,0.147,0.08,0.416,0.365,0.147,0.226,0.112,0.147,0.112,0.226,0.524,1.896,0.112,0.27,0,0.08,0.185,0.147,0.08,0.27,0.08,0.185,0.01,0.147,0.316,0.112,0.147,0.028,0.08,0.185,0.028,0.185,0.316,0.052,0.147,0.316,0.112,0.27,0.185,0.028,0.226,0.08,0.416,0.112,0.112,1.726,0.962,0.147,0.27,0.112,0.08,0.028,0.316,0.316,0.27
Singapore,0.416,0.316,0.316,0.028,0.64,0.08,0.416,0.185,6.889,1.103,0.365,0.028,0.469,4.191,0.028,0.316,1.81,0.028,0.08,0.028,0.112,0.416,0.112,1.896,4.191,0.316,0.112,5.484,0.08,4.191,0.08,1.25,0.052,0.028,0.147,1.032,6.889,0.316,0.052,0.052,0.08,0.64,0.112,0.316,0.365,0.316,0.469,1.896,0.27,0.052,0.185,0.828,3.858,0.112,0.112,0.316,0.185,0.365,0.316,1.81,3.968,0.112,0.27,0.226,4.079,0.226,1.032,0.028,0.052,0.147,0.052,0.052,0.052,0.828,0.08,1.103,0.27,6.757,6.889,0.469,0.469,0.962,0.962,1.983,0.052,6.889,0.469,1.032,0.469,0.01,0.894,6.889,0.185,3.019,0.185,1.983,0.112,0.416,0.112,0.08,0.27,0.052,0.147,0.365,0.27,0.147,0.147,8.396,1.896,0.185,0.365,0.028,0.112,1.032,1.032,0.028,0.052,0.112,1.032,0.112,0.469,0.226,0.147,0.01,1.176,2.82,3.019,0.08,0.08,0.962,1.032,0.524,1.25,0.08,0.581,0.894,0.185,0.962,6.889,1.032,0.764,3.019,1.103,3.019,0.701,0.028,0.052,0.028,0.08,0.028,0.028,3.019,0.27,0.316,0.226,0.08,0,0.365,0.27,0.052,0.226,2.919,0.052,1.726,4.303,0.416,0.052,0.185,1.032,2.919,0.469,3.75,0.08,0.416,6.889,0.524,0.052,0.028,0.052,0.416,2.82,0.08,0.01,0.365,0.962,4.191,4.079,3.019,0.27,0.962,0.028,0.962,6.889,0.416,0.226,0.226
Slovakia,0.524,1.25,0.581,0.052,0.524,0.052,1.326,0.524,1.25,2.251,0.581,0.052,0.365,0.469,0.08,2.16,2.251,0.08,0.316,0.028,0.416,1.326,0.185,2.16,0.316,3.222,0.316,0.416,0.226,0.316,0.365,2.16,0.316,0.052,0.08,0.581,2.16,0.524,0.028,0.316,0.469,0.416,0.416,2.16,2.16,2.16,5.607,2.16,0.052,0.052,0.416,0.524,2.16,0.365,0.226,0.365,0.524,0.416,0.185,2.251,2.16,0.365,0.147,1.326,2.16,0.469,3.222,0.052,0.416,0.365,0.08,0.147,0.27,2.16,0.316,4.417,0.416,2.16,2.16,1.326,2.16,3.222,3.222,2.16,0.112,2.16,0.524,2.071,1.032,0.01,0.469,2.16,0.469,2.071,0.416,0.365,1.25,0.581,0.316,0.185,2.071,0.052,0.581,0.469,0.581,0.226,0.185,1.25,0.226,0.316,0.469,0.028,0.27,0.27,1.25,0.028,0.469,0.27,0.469,1.103,0.64,0.365,0.365,0.01,0.316,2.251,0.469,0.365,0.08,1.176,2.16,0.416,0.581,0.028,0.416,0.147,0.469,0.524,0.581,4.417,2.16,0.524,2.251,2.16,0.316,0.052,0.052,0.028,0.052,0.226,0.028,0.581,0.469,2.251,0.185,0.185,0.365,0,2.16,0.028,0.185,1.25,0.112,2.16,0.524,0.469,0.08,0.112,1.326,2.251,1.25,0.052,0.226,0.316,1.25,0.112,0.147,0.028,0.112,0.524,3.222,0.27,0.01,0.416,4.417,0.524,2.16,2.071,0.524,1.176,0.028,0.581,1.326,0.524,0.316,0.469
Slovenia,0.416,2.16,0.524,0.147,0.469,0.112,1.25,0.524,1.103,5.607,0.524,0.052,0.27,0.27,0.052,0.524,4.303,0.052,0.27,0.028,0.416,3.222,0.147,0.524,0.226,1.326,0.226,0.27,0.226,0.27,0.416,1.25,0.226,0.052,0.112,0.524,1.983,0.469,0.028,0.27,0.469,0.365,0.416,5.607,0.524,1.25,3.222,3.222,0.08,0.08,0.416,0.469,2.071,0.365,0.185,0.365,0.524,0.416,0.112,2.16,4.191,0.365,0.185,1.25,4.191,0.416,2.16,0.052,0.316,0.316,0.08,0.08,0.185,1.983,0.27,2.16,1.103,1.896,1.176,2.071,0.524,3.222,1.25,4.303,0.08,1.983,0.469,0.524,0.469,0.01,0.27,0.524,4.191,0.469,0.316,0.226,1.25,0.524,0.226,0.226,0.524,0.112,1.25,0.469,4.303,0.27,0.147,0.469,0.185,0.316,0.469,0.028,0.27,0.316,0.524,0.052,0.416,0.27,0.416,4.191,0.581,0.27,0.226,0.01,0.226,3.222,0.416,0.316,0.185,0.469,0.581,0.27,0.524,0.028,0.365,0.112,0.365,0.524,0.469,4.303,2.16,0.365,2.16,3.12,0.27,0.052,0.08,0.052,0.08,0.27,0.028,0.524,0.416,4.303,0.147,0.147,0.27,2.16,0,0.028,0.147,0.469,0.052,4.191,0.365,0.365,0.052,0.028,3.222,4.303,0.524,0.028,0.185,0.316,0.524,0.08,0.147,0.052,0.052,0.524,4.303,0.185,0.01,0.416,3.222,0.469,3.12,1.81,0.524,0.416,0.028,0.524,0.524,0.416,0.27,0.365
Solomon Islands,0.028,0.028,0.01,0.147,0.01,0.08,0.01,0.052,2.82,0,0.028,0.08,0.028,0.028,0.08,0.028,0.365,0.147,0.028,0.112,0.052,0.028,0.147,0,0.08,0,0.08,0.028,0.112,0.112,0.028,0,0.052,0.112,0.147,0.01,0,0.01,0.112,0.052,0.01,0.01,0.028,0.01,0,0.01,0,0,0.052,0.147,0.028,0.028,0,0.052,0.052,0.08,0.028,0.028,0.894,0.01,0,0.028,0.08,0.028,0,0.01,0,0.112,0.028,0.052,0.147,0.112,0.08,0.01,0.028,0.01,0.052,0,0.01,0.01,0.01,0.01,0.01,0,0.08,0.365,0.028,0.01,0.028,1.482,0.028,0.01,0.052,0.01,0.08,0.08,0.028,0.01,0.112,0.08,0.01,0.185,0.028,0.052,0.028,0.08,0.147,0.01,0.08,0.052,0.08,0.147,0.08,0.08,0.01,0.112,0.052,0.112,0.08,0.052,0.01,0.028,0.052,1.482,0.08,0,0.524,0.052,0.112,0.01,0.01,0.01,0.01,0.147,0.028,2.436,0.08,0.01,0.01,0,0,0.01,0,0,0.052,0.112,0.112,0.112,0.185,0.112,0.147,0,0.01,0.01,0.112,0.08,0.052,0.028,0.028,0,0.08,0,0.112,0,0.028,0.01,0.112,0.112,0,0,0.028,1.25,0.112,0.028,0.01,0.185,0.052,0.147,0.052,0.01,0,0.112,0.147,0.08,0,0.01,0.316,0,0.028,0.052,0.147,0.01,0.01,0.028,0.08,0.052
Somalia,0.416,0.185,0.147,0.112,0.147,0.112,0.147,0.27,0.08,0.08,0.416,0.112,0.416,0.365,0.08,0.226,0.524,0.08,0.147,0.112,0.147,0.365,0.147,0.028,0.365,0.147,0.226,0.185,0.27,0.185,0.08,0.052,0.147,0.185,0.27,0.052,0.365,0.052,0.27,0.185,0.112,0.08,0.112,0.112,0.08,0.185,0.112,0.112,1.81,0.147,0.08,0.112,0.052,0.112,0.147,0.365,0.147,1.896,0.147,0.147,0.365,0.185,0.316,0.226,0.365,0.112,0.112,0.08,0.028,0.147,0.185,0.147,0.08,0.052,0.028,0.185,0.27,0.469,0.701,0.894,0.416,0.185,0.028,0.365,0.08,0.052,0.416,0.316,0.365,0.08,0.226,0.052,0.147,0.962,0.27,0.27,0.112,0.316,0.27,0.147,0.052,0.147,0.08,0.27,0.185,0.316,0.185,0.226,0.365,0.27,0.27,0.08,0.226,0.316,0.052,0.112,0.226,0.185,0.226,0.27,0.316,0.316,0.185,0.08,0.316,0.052,0.226,0.08,0.27,0.052,0.112,1.032,0.894,0.052,0.052,0.147,0.08,0.08,0.27,0.112,0.028,1.032,0.226,0.416,0.27,0.08,0.112,0.08,0.112,0.147,0.052,0.828,0.27,0.147,0.316,0.27,0.226,0.185,0.147,0.08,0,0.147,0.112,0.01,0.365,1.896,0.185,0.27,0.185,0.08,0.365,0.028,0.226,0.416,0.27,0.147,0.185,0.112,0.147,0.316,1.25,0.226,0.08,1.032,0.08,0.894,0,0,0.226,0.365,0.147,0.08,0.112,1.983,0.27,0.27
South Africa,0.469,0.469,2.251,0.01,4.303,0.01,3.222,0.316,4.303,2.251,0.469,0,0.469,1.176,0.01,1.103,3.326,0.01,2.919,0,0.316,1.25,1.81,5.732,0.416,2.251,0.365,0.894,1.103,0.27,5.362,2.251,1.81,0.028,0.416,2.16,4.417,1.176,2.82,4.079,6.889,0.416,4.191,1.25,2.251,1.25,2.251,2.251,0.962,0,0.469,0.469,4.417,0.226,1.726,1.403,0.416,4.079,1.032,2.251,3.326,4.079,0.27,1.032,4.417,4.303,2.251,0.01,0.27,0.894,0.01,0.01,0.469,1.326,0.185,2.251,0.828,5.732,2.251,2.251,1.326,2.16,4.303,2.251,0.416,2.251,2.16,1.176,6.889,0,1.032,2.251,0.27,2.16,0.028,0.185,0.416,1.326,2.82,0.581,2.251,0,0.416,0.416,0.469,4.648,1.81,2.251,0.112,1.726,0.416,0,0.27,5.983,2.16,0,0.052,0.01,0.316,0.112,2.251,8.115,6.495,0,0.316,3.326,1.176,0.112,0.469,5.607,2.251,2.071,2.251,0,0.416,0.01,0.894,2.071,2.16,2.251,7.022,3.12,1.403,2.251,2.722,0.01,0.01,0,0,0.01,1.176,4.417,5.484,1.326,1.032,0.08,2.919,1.25,0.469,0,0.147,0,0.416,4.417,1.25,3.12,0.01,5.362,2.251,4.417,2.071,0.052,0.01,5.484,3.222,0.01,1.81,0,0.416,2.16,3.222,0.01,0,2.919,2.251,4.303,10,4.417,1.983,0.316,0,2.16,2.16,1.176,3.642,3.968
South Sudan,0.112,0.08,0.147,0.112,0.147,0.185,0.028,0.112,0.01,0.028,0.08,0.185,0.08,0.08,0.147,0.08,0.416,0.147,0.147,0.08,0.112,0.08,0.27,0.01,0.112,0.028,0.226,0.08,0.316,0.08,0.226,0.365,0.147,0.27,0.27,0.052,0.365,0.08,0.185,0.147,0.701,0.052,0.147,0.052,0.028,0.08,0.028,0.028,0.27,0.226,0.028,0.052,1.81,0.052,0.147,1.726,0.112,1.726,0.185,0.028,0,0.27,0.112,0.08,0.365,0.185,0.028,0.185,0.08,0.185,0.147,0.185,0.112,0.052,0.052,0.028,0.27,0.01,0.028,0.052,0.08,0.052,0.052,0,0.147,0.01,0.08,0.052,1.562,0.08,0.147,0.028,0.112,0.08,0.112,0.052,0.08,0.112,0.316,0.27,0.052,0.147,0.08,0.08,0.112,0.185,0.27,0.01,0.08,0.226,0.185,0.112,0.147,0.226,0.028,0.112,0.08,0.226,0.147,0.08,0.08,0.316,0.226,0.112,0.112,0.01,0.052,0.052,0.185,0.052,1.103,0.052,0.052,0.112,0.052,0.147,0.147,0.028,0.028,0.028,0.028,0.052,0.028,0,0.365,0.226,0.185,0.226,0.147,0.112,0.185,0.052,0.08,0.052,0.226,0.185,0.052,0.112,0.052,0.112,0.112,0.416,0,0,0.112,0.828,0.112,0.27,0.052,0.01,0.112,0.028,0.147,0.365,0.028,0.147,0.226,0.112,0.226,0.147,0.028,0.147,0.112,0.962,0.01,0.052,0.962,0.962,0.08,0.08,0.08,0.028,0.028,0.226,0.316,0.894
Spain,1.726,4.191,5.607,2.722,5.484,0,10,0.365,2.16,4.417,1.176,0,0.416,1.103,0,0.581,4.417,0.01,1.726,0,1.896,4.303,0,7.022,0.226,4.417,0.08,0.147,0,0.08,4.079,3.326,1.643,0,0,3.222,3.326,3.222,0,1.896,4.191,2.071,4.079,3.222,3.326,2.16,4.417,4.417,0.01,0,3.12,5.484,4.417,2.722,1.983,0.028,2.919,0.962,0,3.326,7.022,2.82,0.524,1.176,4.417,3.12,4.417,0,1.983,0.185,0,0,1.176,2.251,1.81,3.326,0.764,2.251,2.251,2.251,2.16,4.417,4.417,7.022,0.469,2.342,4.191,2.071,1.103,0,0.226,3.222,1.726,2.16,0.01,0.028,3.019,2.16,0.01,0.028,4.417,0,3.12,1.81,3.019,0.01,0,2.251,0.01,0.226,2.53,0,1.983,0.052,4.417,0,0.701,0.365,0.185,1.726,10,1.176,2.625,0,0.08,4.417,1.176,1.562,0.365,5.607,4.417,0.524,3.222,0,2.071,0,1.896,6.889,2.16,4.417,8.538,3.12,4.417,4.417,0.052,0,0,0,0,0.365,0.01,3.222,5.362,4.417,0.01,0.01,1.726,2.16,4.191,0,0.01,4.417,0,0,0.524,1.176,0,0.01,4.417,4.417,3.12,0.052,0,0.828,3.222,0,1.25,0,0.01,2.16,4.417,0,0,0.27,3.326,3.222,7.022,10,3.12,0.27,0,3.326,2.16,1.983,0.052,1.562
Sri Lanka,0.524,0.365,0.469,0.028,0.416,0.112,0.524,0.365,2.16,1.25,0.469,0.08,2.071,2.16,0.112,0.469,1.25,0.112,0.185,0.052,0.365,0.524,0.226,1.25,0.581,0.469,0.27,4.191,0.226,0.524,0.226,2.16,0.226,0.052,0.112,0.524,3.12,0.469,0.08,0.147,0.27,0.365,0.316,0.416,1.896,0.469,0.524,0.524,0.27,0.112,0.316,0.469,2.16,0.316,0.226,0.416,0.365,0.469,0.27,0.524,3.019,0.316,0.147,0.416,4.191,0.416,0.524,0.08,0.365,0.316,0.08,0.147,0.147,1.103,0.27,0.581,1.032,6.889,5.607,1.25,1.25,0.469,1.176,3.12,0.147,3.12,2.071,0.524,1.176,0.01,0.416,3.222,0.226,3.222,0.226,0.469,0.316,1.176,0.226,0.185,0.469,0.052,0.365,0.365,0.365,0.226,0.226,6.889,5.24,0.316,0.365,0.028,0.226,0.416,0.524,0.052,0.226,0.08,0.469,0.226,0.524,0.365,0.27,0.01,2.071,2.071,0.524,0.27,0.147,0.524,1.176,2.071,3.222,0.052,0.416,0.226,0.365,0.469,3.222,1.176,0.469,4.191,1.25,3.12,0.316,0.052,0.08,0.052,0.052,0.052,0.028,3.12,0.416,0.469,0.27,0.147,4.303,0.524,0.365,0.028,0.365,1.25,0.112,0.524,0,0.524,0.08,0.226,1.176,1.25,0.524,0.316,0.08,0.416,6.889,0.112,0.052,0.028,0.147,0.524,0.581,0.112,0.01,0.416,0.524,3.222,3.019,3.968,0.469,0.469,0.028,0.524,1.25,0.524,0.365,0.469
Sudan,0.524,0.416,0.581,0.028,0.469,0.08,0.524,0.416,0.469,1.25,0.469,0.052,2.071,0.524,0.08,0.416,2.071,0.052,0.316,0.028,0.365,0.524,0.185,1.176,0.416,1.983,0.365,0.365,0.316,0.147,0.416,2.071,0.27,0.764,0.828,0.469,2.16,0.416,1.726,0.365,1.176,0.316,0.416,0.469,0.524,0.524,0.524,1.25,3.019,0.052,0.226,0.365,3.222,0.226,0.226,0.469,0.416,2.071,0.112,0.524,2.071,0.416,0.365,0.416,3.12,0.469,1.25,0.052,0.27,0.365,0.052,0.052,0.112,1.176,0.185,0.581,0.365,4.303,2.071,2.16,2.16,0.524,0.416,2.071,0.08,2.071,3.12,0.469,4.303,0.01,0.365,0.524,0.365,0.581,0.27,0.185,0.365,1.25,0.316,0.316,1.25,0.028,0.416,0.365,0.416,1.896,0.316,2.071,0.316,0.365,0.416,0.028,0.365,0.416,0.469,0.028,0.226,0.185,0.316,0.27,2.16,2.071,0.316,0.01,0.365,2.071,0.416,0.226,0.147,0.581,2.071,4.303,1.326,0.01,0.226,0.08,0.316,0.365,0.524,0.524,0.469,3.12,2.071,2.071,1.103,0.052,0.052,0.028,0.028,0.112,0.028,6.889,1.176,0.469,0.27,0.316,0.416,0.469,0.365,0.01,1.896,3.12,0.828,1.176,0.524,0,0.08,0.365,1.983,1.25,1.25,0.01,0.112,2.071,0.581,0.052,0.185,0.028,0.147,0.581,1.25,0.147,0.01,2.071,0.524,1.326,3.019,1.983,0.469,0.365,0.028,0.469,0.469,3.222,0.469,0.469
Suriname,0.112,0.052,0.052,0.112,0.052,0.185,0.028,0.112,0.01,0.01,0.08,0.147,0.08,0.08,0.27,0.052,0.365,0.112,0.08,0.147,0.185,0.08,0.226,1.032,0.112,0.028,0.08,0.08,0.185,0.147,0.08,0.01,0.112,0.185,0.112,0.08,0.962,0.08,0.08,0.052,0.08,0.08,0.052,0.08,0.028,0.052,0.01,0.01,0.112,0.185,0.08,0.185,0,0.147,0.147,0.226,0.08,0.112,0.185,0.028,0.316,0.08,0.147,0.08,0,0.08,0.01,0.27,0.08,0.147,0.185,3.858,0.112,0.028,0.052,0.028,0.112,0.962,1.032,0.028,0.08,0.028,0.028,0,0.185,0,0.08,0.08,0.08,0.112,0.112,0.028,0.08,0.112,0.147,0.185,0.052,0.112,0.185,0.112,0.028,0.185,0.052,0.147,0.08,0.147,0.185,0.028,0.112,0.112,0.226,0.112,0.112,0.147,0.08,0.185,0.08,0.147,0.112,0.08,0.028,0.147,0.112,0.112,0.112,1.81,0.112,0.112,0.147,0.052,0.028,0.052,0.028,0.112,0.147,0.27,0.112,0.112,0.028,0.01,0.01,0.08,0.01,0,0.226,0.226,0.147,0.147,0.226,0.112,0.112,0.01,0.052,0.052,0.147,0.112,0.052,0.08,0.052,0.112,0.185,0.01,0.112,0,0.08,0.08,0,0.112,0.01,0.01,0.147,0.08,0.226,0.08,0.01,0.226,0.112,0.147,3.536,0.112,0.01,0.226,0.112,0.147,0.01,0.028,0,0.962,0.112,0.147,0.112,1.25,0.028,0.112,0.147,0.185
